###############################################################

Adverse drug reation (ADR) lexicon version 1.1 

Format
Each line contains the UMLS (Unified Medical Language System) concept ID, concept name and the source that the concept and the ID are taken from (tab separated). 

Resources

SIDER:http://sideeffects.embl.de/
CHV (Consumer Health Vocabulary): http://consumerhealthvocab.org/
COSTART (Coding Symbols for a Thesaurus of Adverse Reaction Terms): http://bioportal.bioontology.org/ontologies/COSTART
DIEGO_Lab: These entries are the frequently observed phrases in user posts in social media which were annotated as ADRs and mapped to UMLS IDs by DIEGO lab annotators. 

Citing ADR lexicon
Please cite this paper: Nikfarjam A, et al. Journal of the American Medical Informatics Association 2015;0:1–11. doi:10.1093/jamia/ocu041

Contact
If you have any questions please contact Azadeh Nikfarjam: anikfarj@asu.edu

###############################################################
c1328274	infection vascular	SIDER
c0015732	faecal incontinence	SIDER
c0015732	fecal incontinence	SIDER
c0920163	idiopathic thrombocytopenia	SIDER
c0003175	anthrax	SIDER
c0010481	cushing's syndrome	SIDER
c0010481	cushing syndrome	SIDER
c0010481	cushings syndrome	SIDER
c0010481	hypercortisolism	SIDER
c0004623	infection bacterial	SIDER
c0037023	sialadenitis	SIDER
c0236078	scrotal pain	SIDER
c0004626	bacterial pneumonia	SIDER
c0151618	embolus lower extremity	SIDER
c0520474	aseptic necrosis bone	SIDER
c0520474	osteonecrosis	SIDER
c0520474	aseptic necrosis of bone	SIDER
c0151613	electrolyte abnormality	SIDER
c0151614	electrolyte depletion	SIDER
c0236071	tightness in throat 	SIDER
c0236071	throat tightness	SIDER
c0151611	eeg abnormal	SIDER
c0015734	faecal impaction	SIDER
c0015734	fecal impaction	SIDER
c0151610	tongue edema	SIDER
c0267158	reflux gastritis	SIDER
c0341012	oral herpes	SIDER
c0031873	pica	SIDER
c0730285	diabetic macular edema	SIDER
c0920157	mesenteric ischemia	SIDER
c0151606	labial edema	SIDER
c0037011	shoulder pain	SIDER
c0151609	scrotal edema	SIDER
c0151602	swelling face	SIDER
c0700251	brachial plexopathy	SIDER
c0151603	generalized edema	SIDER
c0520463	chronic active hepatitis	SIDER
c0151604	genital edema	SIDER
c0151605	edema at the injection site	SIDER
c0267166	gastroduodenitis	SIDER
c0424605	delayed development	SIDER
c0162871	abdominal aortic aneurysm	SIDER
c0151601	conjunctival edema	SIDER
c0920186	hepatic artery stenosis	SIDER
c1320474	nuchal rigidity	SIDER
c0231785	carpopedal spasm	SIDER
c0034359	pyuria	SIDER
c0920184	fundic gland polyps	SIDER
c0004606	nonproliferative diabetic retinopathy	SIDER
c0151636	premature ventricular contraction	SIDER
c0001957	dts	SIDER
c0151639	fertility decreased female	SIDER
c0522224	paralysis	SIDER
c0522224	paralyses	SIDER
c0522224	palsies	SIDER
c0522224	palsy	SIDER
c0004604	back pain	SIDER
c0236053	mucosal ulceration	SIDER
c0428982	tachycardia nodal	SIDER
c0428982	nodal tachycardia	SIDER
c0004030	aspergillosis	SIDER
c0151632	elevated erythrocyte sedimentation rate	SIDER
c0920171	foreign body sensation in eyes	SIDER
c0004610	bacteremia	SIDER
c0151624	ulcerative enterocolitis	SIDER
c0151625	enzymatic abnormality	SIDER
c0151626	epidermal necrolysis	SIDER
c0428977	decreased heart rate	SIDER
c0428977	heart rate decreased	SIDER
c0428977	bradycardia nos	SIDER
c0428977	bradycardia	SIDER
c0151628	premature epiphyseal closure	SIDER
c0151629	fixed eruption	SIDER
c0004044	asphyxiation	SIDER
c0004044	asphyxia	SIDER
c0231772	feet burning	SIDER
c0001969	drunk	SIDER
c1701941	withdrawal of treatment	SIDER
c0151620	hypertensive encephalopathy	SIDER
c0151622	endometrial disorder	SIDER
c0151623	enterocolitis hemorrhagic	SIDER
c0034372	quadriplegia	SIDER
c0042384	angiitis	SIDER
c0040028	essential thrombocythemia	SIDER
c0001973	chronic alcohol abuse	SIDER
c1510472	drug addiction	SIDER
c1510472	drug dependence	SIDER
c1510471	hypovitaminosis	SIDER
c0860564	retinoic acid syndrome	SIDER
c1510475	diverticulosis	SIDER
c0581912	sensation of heaviness	SIDER
c0042376	vascular headache	SIDER
c0042376	vascular headaches	SIDER
c0600041	bladder infection	SIDER
c0231710	buttock pain	SIDER
c0311394	difficulty in walking	SIDER
c0162830	photosensitivity reaction	SIDER
c0162830	photosensitivity toxic reaction	SIDER
c0162830	rash photosensitivity	SIDER
c0311395	limp	SIDER
c0042373	vascular disease	SIDER
c0042373	vascular diseases	SIDER
c0042373	disorder vascular	SIDER
c0042373	vascular disorder	SIDER
c0042373	angiopathy	SIDER
c0042373	vascular disorders	SIDER
c0700292	hypoxemia	SIDER
c0162834	skin hyperpigmentation	SIDER
c0162835	skin hypopigmentation	SIDER
c0162835	leukoderma	SIDER
c0162835	depigmentation	SIDER
c0162835	hypopigmentation	SIDER
c0270327	nocturnal enuresis	SIDER
c0149696	food intolerance	SIDER
c0877690	renal graft loss	SIDER
c0860594	metastatic malignant melanoma	SIDER
c0231749	knee pain	SIDER
c0699744	ear infection	SIDER
c0699744	ear infections	SIDER
c0699744	ear infection nos	SIDER
c0275524	coinfection	SIDER
c0041582	ulceration	SIDER
c0001733	afibrinogenemia	SIDER
c0011269	vascular dementia	SIDER
c0162848	dermatitis lichenoid	SIDER
c0162848	lichenoid dermatitis	SIDER
c0040046	thrombophlebitis	SIDER
c1510497	lens opacity	SIDER
c0011251	delusional disorder	SIDER
c0748536	scleral hemorrhage	SIDER
c0011253	delusions	SIDER
c0010418	cryptosporidiosis	SIDER
c0010417	cryptorchidism	SIDER
