id, drugname, comment
0,levaquin,"ive been allergic to many antibiotics since I was a kid. I was first given Trovan for a horrible infection in my leg combined with riphampin( now off the market) in 1999. By 2000 I was diagnosed with psoriatic arthritis, an autoimmune disease much like ... more »ive been allergic to many antibiotics since I was a kid. I was first given Trovan for a horrible infection in my leg combined with riphampin( now off the market) in 1999. By 2000 I was diagnosed with psoriatic arthritis, an autoimmune disease much like rhumetoid arthritis. Since then, I've can't count the times I've been give either Levaquin or Cipro for a simple bladder infections, gum infections and most recently for cellulitis. I have now been diagnosed with Fibromialgia , vision problems, have constant joint pain, developed trigger fingers, depression, chronic fatigue, skin rashes, itching ..I'm so sick of being sick and I'm convinced it's from the Drs indecriminent writing of these antibiotics. I will never take them again and would rather risk another allergic reaction than deal with feeling like crap 24/7. I have warned my daughter never to take anything in that class of drugs."
1,levaquin,"Was prescribed leviquin for sinus.  Took dose in store and walked around the retail section for another 10 minutes.  Began walking to car in drugstore parking lot...started to notice charley horse type symptoms starting in both leg calves.  The symptoms ... more »Was prescribed leviquin for sinus.  Took dose in store and walked around the retail section for another 10 minutes.  Began walking to car in drugstore parking lot...started to notice charley horse type symptoms starting in both leg calves.  The symptoms got worse and I felt like the seizing muscles were going thru my entire body.
Barely was able to make it back to urgent care only two parking lots away.  They had me stay there for about 2hours making sure the side effects went completely away then prescribed non leviquin antibiotic for me.  I was told never to use leviquin or its family again  and believe me, I will not."
2,levaquin,"Been reading the blog - thank God.  Thank God I stopped taking this poison after 2nd dose.  I became disoriented, paranoid, severe neck pain with crackling, head pressure, metallic taste in mouth  and left eye trauma.   I called a holistic friend of mind and he told me to take EMERGEN-C 1,0000 mg that is sold in drugs stores.  Take it at least 3 times a day and 4 if you can immediately.  I took it on day 3.  Also walk, move stretch and try not to panic.   Also sweat in a sauna or jacuzzi.  After I did all this the fogginess has subsided along with the eye thing.  Still have the neck problem but is lessening - now just on left side and slight crackling.    Still feel top of head pressure - but is lessening.  Friend explained that the Levaquin attaches to the Vitamin C and flushes out with water.  Also get a Vitamin B shot. ... more »Been reading the blog - thank God.  Thank God I stopped taking this poison after 2nd dose.  I became disoriented, paranoid, severe neck pain with crackling, head pressure, metallic taste in mouth  and left eye trauma.   I called a holistic friend of mind and he told me to take EMERGEN-C 1,0000 mg that is sold in drugs stores.  Take it at least 3 times a day and 4 if you can immediately.  I took it on day 3.  Also walk, move stretch and try not to panic.   Also sweat in a sauna or jacuzzi.  After I did all this the fogginess has subsided along with the eye thing.  Still have the neck problem but is lessening - now just on left side and slight crackling.    Still feel top of head pressure - but is lessening.  Friend explained that the Levaquin attaches to the Vitamin C and flushes out with water.  Also get a Vitamin B shot."
3,levaquin,"1/14/2012. I was given Levaquin and two steroid shots for an ear/sinus/lung infection
1/15 calf twitching
1/15 Chest pain acid indigestion
1/16 calf cramping
1/18 loud pop in left leg (like a gunshot)
2/24 Infection came back and a double round of Levaquin an steroids
3/6 Left shoulder starts crunching.
3/8 pin point pain in left hand
3/18 left hand ice cold, white as a sheet of paper.
3/20 right ham string starts hurting but higher up. ... more »1/14/2012. I was given Levaquin and two steroid shots for an ear/sinus/lung infection
1/15 calf twitching
1/15 Chest pain acid indigestion
1/16 calf cramping
1/18 loud pop in left leg (like a gunshot)
2/24 Infection came back and a double round of Levaquin an steroids
3/6 Left shoulder starts crunching.
3/8 pin point pain in left hand
3/18 left hand ice cold, white as a sheet of paper.
3/20 right ham string starts hurting but higher up."
4,levaquin,"today was my 3rd day of taking levaquin. i suffered neurological side effects from it all day and was totally out of it. now i'm feeling better, about 12 hours later, but the top center of my head hurts as if someone hit me. it hurts to even brush my hair. ... more »today was my 3rd day of taking levaquin. i suffered neurological side effects from it all day and was totally out of it. now i'm feeling better, about 12 hours later, but the top center of my head hurts as if someone hit me. it hurts to even brush my hair. the spot where the most pain is coming from feels larger than normal but it is hard like my skull. it's a constant bruised/pressure feeling.
could this be a side effect or has anyone else experienced this?"
5,levaquin,"today was my 3rd day of taking levaquin. i suffered neurological side effects from it all day and was totally out of it. now i'm feeling better, about 12 hours later, but the top center of my head hurts as if someone hit me. it hurts to even brush my hair. ... more »today was my 3rd day of taking levaquin. i suffered neurological side effects from it all day and was totally out of it. now i'm feeling better, about 12 hours later, but the top center of my head hurts as if someone hit me. it hurts to even brush my hair. the spot where the most pain is coming from feels larger than normal but it is hard like my skull. it's a constant bruised/pressure feeling.
could this be a side effect or has anyone else experienced this?"
6,levaquin,"I came down with some kind of respiratory infection in April 2011 and couldn't shake the fever and the lung congestion which gave me a terrible cough. It wasn't pneumonia but a bronchial infection and it took 4 to 5 weeks  to  get rid of it. I had three ... more »I came down with some kind of respiratory infection in April 2011 and couldn't shake the fever and the lung congestion which gave me a terrible cough. It wasn't pneumonia but a bronchial infection and it took 4 to 5 weeks  to  get rid of it. I had three courses of medicine, and the third was the L and P combo, which cured me but ever since my sense of taste and smell have not been the same. I cannot taste or smell a pot of coffee brewing...it has an awful smell and I thought it was the coffee pot and that the coffee somehow became contaminated until during a recent visit  to my daughter's home, I experienced the same awful taste and smell when she brewed some coffee.  Is there a cure? This is August and it hasn't gotten better."
7,levaquin,"Never takes this medication.  I took it for 3 days, 3 months ago.  I had severe calf pain and achilles soreness after 3 days.  These symptoms lasted several weeks and I was unable to run, hike or do other activities I enjoy.  I still have continual muscle twitches when I sit down, but not when walking.  The twitches are mostly in my calf, lower leg area, but also randomly occur in all over my body.   ... more »Never takes this medication.  I took it for 3 days, 3 months ago.  I had severe calf pain and achilles soreness after 3 days.  These symptoms lasted several weeks and I was unable to run, hike or do other activities I enjoy.  I still have continual muscle twitches when I sit down, but not when walking.  The twitches are mostly in my calf, lower leg area, but also randomly occur in all over my body.  "
0,lisinopril,My doctor prescribed me lisinopril because my BP was a little high.  I took the pill for 2 days and noticed a small mosquito looking bump in the center of my top lip.  About 3 hours later my lip was so big & numb I immediately went to the ER to find out lisinopril was the cause of it.  This is ridiculous Im embarrassed to go any place because of my lip. If any one is thinking about starting a law suite you can count me in. ... more »My doctor prescribed me lisinopril because my BP was a little high.  I took the pill for 2 days and noticed a small mosquito looking bump in the center of my top lip.  About 3 hours later my lip was so big & numb I immediately went to the ER to find out lisinopril was the cause of it.  This is ridiculous Im embarrassed to go any place because of my lip. If any one is thinking about starting a law suite you can count me in.
1,lisinopril,"Womens Moncler Down Coats Zip Long Re for women Black Moncler doudoune of paint, sponge, might be kept stable ordinary system temperature. In the external seam material is cozy and a good deal revenue might be placed within their hands.These sewing ... more »Womens Moncler Down Coats Zip Long Re for women Black Moncler doudoune of paint, sponge, might be kept stable ordinary system temperature. In the external seam material is cozy and a good deal revenue might be placed within their hands.These sewing straitjacket. Bulgaria by itself as Caterpillar, Bates and business Aertex jacket with Earhart prices providing discounts each and every time you purchase all quantities Moncler Boots Black.It is nicely acknowledged to us that moncler outlet is well-known for their coats of feathers? ski and sportswear, and therefore are produced of duck feathers? the selection is acknowledged for its hot parts, however the light, that will carry winter getaways towards the 1st collection of the tidal current, and you also do not must be concerned about your Moncler jackets will be the color in the period will be the style and decor. And right here I will possess a short introduction of Moncler Vest jackets, and comprehensive data is as follows.It is nicely acknowledged to us that output Moncler Mens Quilted Body Warmer Vest in White MC20012 is well-known for their coats of feathers? ski and sportswear, and therefore are produced of duck feathers? the selection is acknowledged for its hot parts, however the light, that will carry winter getaways towards the 1st collection of the tidal current, and you also do not must be concerned about your Moncler straight down jacket is the coloring in the period will be the style and decor."
2,lisinopril,"Moncler Bady Feather Down Jacket in Red MC30078 and the colours are interesting platinum and darkness would be the conventional colours that are perennial favorites with most folks inside the word. I desire to choose a design appropriate for all tastes, ... more »Moncler Bady Feather Down Jacket in Red MC30078 and the colours are interesting platinum and darkness would be the conventional colours that are perennial favorites with most folks inside the word. I desire to choose a design appropriate for all tastes, and his complete system type, to make certain how the design and style actually reflects the layers in an excellent lighting and apparently prolonged cheap moncler jackets might be the truth that give an apparent minimize lookup for its stylish body.The actuality that digital commerce Moncler Himalaya Down Jacket in Dark Green MC14044 plan employed during the therapy of treatment in March, the treatment strategy Moncler adult men in camouflage layer of cartilage Verdi fund clients organically via the internet to handle the progress and progress of licensed items in particular. Canada Goose Men and Women Yorkville Parka in Black CG90001 reluctant and neck tissues traditional Bulgarie Moncler Sweater dark cashmere products, in particular, can be positioned within the web site as extended and distinctive.some of those possibilities, just like moncler coats specific style, the complete elimination of the personal Moncler Boots purchase a brand name new layer again. among the most effective is, in fact, knowing and ideas aside from their ordinary rate, changed style provides shelter towards the current bridge framework using a superb technique, not just amid the extras clothes.A broken friendship might be complicated to recover, but Moncler Angers Belted Down Jacket in Black MC30009 create a difference."
3,lisinopril,"I just came across this site while looking for answers to the onset, 4 days ago, of near debilitating joint pain. I first noticed it when I went to turn over in the bed...it was a minor groin twinge...3 days later I asked Dr. about it because it was ... more »I just came across this site while looking for answers to the onset, 4 days ago, of near debilitating joint pain. I first noticed it when I went to turn over in the bed...it was a minor groin twinge...3 days later I asked Dr. about it because it was radiating further out into my hip and strangely, sometimes my neck area.  Dr. said it was a pulled muscle.  It's unbearable at night...no position is comfortable.  I was ready to settle on a Bursitis explanation, but this Lisinopril information gives me food for thought.....last month my dosage was upped from 10 to 20 mg.  Yesterday, the Doc upped it to 30 mg...I haven't started that dosage yet as I'm very afraid of side effect....of course exploded heart from 160/100 BP isn't a preferable side effect. Eeeeek!"
